"Condition","trial","time","person","RT"
"4",1,"1","44",247.635181423464
"4",2,"1","44",306.373215588577
"4",3,"1","44",172.014950413771
"4",4,"1","44",293.125910252406
"4",5,"1","44",170.213842917235
"4",6,"1","44",229.906822348922
"4",7,"1","44",257.592771948258
"4",8,"1","44",227.860030523286
"4",9,"1","44",217.470289721393
"4",10,"1","44",197.538833017249
"4",11,"1","44",277.468414819807
"4",12,"1","44",251.356453323208
"4",13,"1","44",174.917931605536
"4",14,"1","44",246.304214790315
"4",15,"1","44",239.225319396679
"4",16,"1","44",184.041162933841
"4",17,"1","44",164.072730455203
"4",18,"1","44",194.932547367269
"4",19,"1","44",188.918100738725
"4",20,"1","44",165.976305158903
"4",21,"1","44",167.224599668436
"4",22,"1","44",244.438813704896
"4",23,"1","44",163.696453505689
"4",24,"1","44",194.665845479215
"4",25,"1","44",154.041166997218
"4",1,"2","44",219.086168499801
"4",2,"2","44",244.882032440528
"4",3,"2","44",271.131642334617
"4",4,"2","44",125.119177255764
"4",5,"2","44",222.506186329773
"4",6,"2","44",238.703040692049
"4",7,"2","44",146.77389759034
"4",8,"2","44",220.446064672599
"4",9,"2","44",182.074712269565
"4",10,"2","44",180.97893115745
"4",11,"2","44",179.739543494412
"4",12,"2","44",227.531810765264
"4",13,"2","44",212.556036400509
"4",14,"2","44",224.276249292024
"4",15,"2","44",305.410296371734
"4",16,"2","44",88.4081478512214
"4",17,"2","44",219.82045287456
"4",18,"2","44",131.021804861013
"4",19,"2","44",94.2777314554781
"4",20,"2","44",297.559328981216
"4",21,"2","44",190.783508001737
"4",22,"2","44",314.785198393478
"4",23,"2","44",223.311501645991
"4",24,"2","44",180.008709365425
"4",25,"2","44",356.234271164629
