"Condition","trial","time","person","RT"
"3",1,"1","35",304.571598599711
"3",2,"1","35",219.093181083752
"3",3,"1","35",181.591353780618
"3",4,"1","35",283.754093134742
"3",5,"1","35",216.967101440822
"3",6,"1","35",212.32690682769
"3",7,"1","35",203.645399082554
"3",8,"1","35",278.211063256112
"3",9,"1","35",226.962616482048
"3",10,"1","35",248.265872079015
"3",11,"1","35",289.26481951227
"3",12,"1","35",166.521614800982
"3",13,"1","35",239.689777916911
"3",14,"1","35",346.76956504548
"3",15,"1","35",290.908233387522
"3",16,"1","35",248.231460064668
"3",17,"1","35",235.233396826071
"3",18,"1","35",261.117696421766
"3",19,"1","35",275.349075789992
"3",20,"1","35",232.284922196042
"3",21,"1","35",174.818383528881
"3",22,"1","35",256.863412185442
"3",23,"1","35",215.114955646341
"3",24,"1","35",298.446237860659
"3",25,"1","35",236.475460610642
"3",1,"2","35",256.404259420869
"3",2,"2","35",324.521725256481
"3",3,"2","35",283.621381893857
"3",4,"2","35",254.272140717147
"3",5,"2","35",433.483449147966
"3",6,"2","35",354.311328596187
"3",7,"2","35",315.295270481947
"3",8,"2","35",280.484364150135
"3",9,"2","35",290.776782672279
"3",10,"2","35",351.111876769806
"3",11,"2","35",231.676235047995
"3",12,"2","35",255.514825125213
"3",13,"2","35",311.06426904158
"3",14,"2","35",348.791077334921
"3",15,"2","35",303.402628617073
"3",16,"2","35",179.504594115143
"3",17,"2","35",360.184438673666
"3",18,"2","35",303.367152880202
"3",19,"2","35",291.937869978023
"3",20,"2","35",320.010117204441
"3",21,"2","35",303.175528270312
"3",22,"2","35",211.169129309514
"3",23,"2","35",171.783138328835
"3",24,"2","35",288.477272487173
"3",25,"2","35",372.296860897942
