"Condition","trial","time","person","RT"
"4",1,"1","47",270.207705134023
"4",2,"1","47",341.105509821818
"4",3,"1","47",281.125536877443
"4",4,"1","47",217.426986090955
"4",5,"1","47",213.223815458214
"4",6,"1","47",316.471747787824
"4",7,"1","47",171.908060908749
"4",8,"1","47",205.145008553359
"4",9,"1","47",278.891596063298
"4",10,"1","47",270.407146007303
"4",11,"1","47",226.818692537539
"4",12,"1","47",164.100373155159
"4",13,"1","47",188.506344871455
"4",14,"1","47",216.917208091615
"4",15,"1","47",269.241421126745
"4",16,"1","47",153.842228656305
"4",17,"1","47",178.912686925618
"4",18,"1","47",233.301008035277
"4",19,"1","47",196.349474814802
"4",20,"1","47",227.101844518109
"4",21,"1","47",216.794576897994
"4",22,"1","47",202.555084211975
"4",23,"1","47",269.535860375809
"4",24,"1","47",240.610465738187
"4",25,"1","47",200.826923264413
"4",1,"2","47",195.947572325975
"4",2,"2","47",240.44086245755
"4",3,"2","47",244.380377320012
"4",4,"2","47",352.975084720146
"4",5,"2","47",218.371625565098
"4",6,"2","47",236.661002786658
"4",7,"2","47",234.549576952998
"4",8,"2","47",263.028232031082
"4",9,"2","47",276.050126292828
"4",10,"2","47",278.527091566964
"4",11,"2","47",297.866918491582
"4",12,"2","47",196.568071730626
"4",13,"2","47",170.774012668748
"4",14,"2","47",211.994587252706
"4",15,"2","47",187.105993608938
"4",16,"2","47",206.617938967342
"4",17,"2","47",162.935062328045
"4",18,"2","47",269.387580170405
"4",19,"2","47",172.482525088959
"4",20,"2","47",289.37550418111
"4",21,"2","47",266.491262655936
"4",22,"2","47",249.022414734777
"4",23,"2","47",173.992127168497
"4",24,"2","47",237.111716597198
"4",25,"2","47",343.585962359776
