"Condition","trial","time","person","RT"
"2",1,"1","23",202.133105885493
"2",2,"1","23",179.991039811705
"2",3,"1","23",284.221731416329
"2",4,"1","23",223.194185519211
"2",5,"1","23",241.042259825884
"2",6,"1","23",227.294768161821
"2",7,"1","23",166.10008967812
"2",8,"1","23",209.467098803774
"2",9,"1","23",159.682599271953
"2",10,"1","23",195.218519204945
"2",11,"1","23",181.82048224823
"2",12,"1","23",266.92483550136
"2",13,"1","23",145.946193169925
"2",14,"1","23",275.951883845416
"2",15,"1","23",188.55006525304
"2",16,"1","23",305.612887326914
"2",17,"1","23",255.55088387856
"2",18,"1","23",177.880440439852
"2",19,"1","23",118.424013333409
"2",20,"1","23",211.671116783043
"2",21,"1","23",196.58245928299
"2",22,"1","23",132.707430247144
"2",23,"1","23",209.310543201777
"2",24,"1","23",258.015061632395
"2",25,"1","23",193.975961467905
"2",1,"2","23",244.07360045112
"2",2,"2","23",120.946702477542
"2",3,"2","23",292.520448892244
"2",4,"2","23",365.477299785592
"2",5,"2","23",131.742720695891
"2",6,"2","23",208.392050701776
"2",7,"2","23",161.981289335851
"2",8,"2","23",164.809627194889
"2",9,"2","23",112.362325555833
"2",10,"2","23",151.815730344128
"2",11,"2","23",280.489698120397
"2",12,"2","23",176.619615907219
"2",13,"2","23",219.686803940335
"2",14,"2","23",192.013147331017
"2",15,"2","23",216.674693542227
"2",16,"2","23",166.947014550808
"2",17,"2","23",295.557732931525
"2",18,"2","23",131.045038467921
"2",19,"2","23",60.3490839705422
"2",20,"2","23",203.505575907464
"2",21,"2","23",175.456462983584
"2",22,"2","23",2.24821787920051
"2",23,"2","23",167.540297067857
"2",24,"2","23",137.681524602877
"2",25,"2","23",350.408400691071
