"Condition","trial","time","person","RT"
"1",1,"1","12",232.232847168847
"1",2,"1","12",230.442408590338
"1",3,"1","12",319.748547125399
"1",4,"1","12",348.0873504703
"1",5,"1","12",231.61954523831
"1",6,"1","12",274.374900087615
"1",7,"1","12",230.516946742845
"1",8,"1","12",195.337869835313
"1",9,"1","12",276.44703325869
"1",10,"1","12",217.080177931355
"1",11,"1","12",303.220695727002
"1",12,"1","12",257.623280462963
"1",13,"1","12",242.012165272772
"1",14,"1","12",216.415004495923
"1",15,"1","12",239.711712175188
"1",16,"1","12",202.612288272714
"1",17,"1","12",310.996974037289
"1",18,"1","12",269.424181006819
"1",19,"1","12",233.246677516802
"1",20,"1","12",300.403147543829
"1",21,"1","12",225.548535480612
"1",22,"1","12",355.823432097888
"1",23,"1","12",283.894986726008
"1",24,"1","12",229.02935373654
"1",25,"1","12",197.26608173019
"1",1,"2","12",265.170751190132
"1",2,"2","12",292.426807013269
"1",3,"2","12",263.816897525461
"1",4,"2","12",291.484358899875
"1",5,"2","12",293.153579676275
"1",6,"2","12",233.061509696031
"1",7,"2","12",300.412932489547
"1",8,"2","12",237.026600594393
"1",9,"2","12",236.047827836755
"1",10,"2","12",234.94765145297
"1",11,"2","12",158.584525563374
"1",12,"2","12",202.574747846723
"1",13,"2","12",319.453386268103
"1",14,"2","12",207.293534983438
"1",15,"2","12",238.098100388124
"1",16,"2","12",379.888867404574
"1",17,"2","12",288.631532347508
"1",18,"2","12",263.537262185336
"1",19,"2","12",355.530207788415
"1",20,"2","12",268.21865847933
"1",21,"2","12",263.182659994526
"1",22,"2","12",180.830378001966
"1",23,"2","12",302.013070545223
"1",24,"2","12",221.494920157118
"1",25,"2","12",325.932161701892
