"Condition","trial","time","person","RT"
"1",1,"1","9",270.660864967567
"1",2,"1","9",205.610973946685
"1",3,"1","9",275.703146271613
"1",4,"1","9",232.196976534538
"1",5,"1","9",299.118050683053
"1",6,"1","9",254.306381072877
"1",7,"1","9",283.93391323458
"1",8,"1","9",364.727233796362
"1",9,"1","9",213.918235208456
"1",10,"1","9",212.990961612181
"1",11,"1","9",207.678564113772
"1",12,"1","9",214.309597022793
"1",13,"1","9",223.977502581444
"1",14,"1","9",296.423173386077
"1",15,"1","9",236.608587127186
"1",16,"1","9",230.014706909122
"1",17,"1","9",323.400451698994
"1",18,"1","9",245.300731606552
"1",19,"1","9",321.793845971801
"1",20,"1","9",217.51240712291
"1",21,"1","9",336.34925549303
"1",22,"1","9",248.743869910338
"1",23,"1","9",242.995296636289
"1",24,"1","9",258.008971439437
"1",25,"1","9",215.608766154548
"1",1,"2","9",333.621385066641
"1",2,"2","9",383.946643601877
"1",3,"2","9",227.277348371485
"1",4,"2","9",228.187663120103
"1",5,"2","9",259.371296733439
"1",6,"2","9",193.883319975823
"1",7,"2","9",324.530389354152
"1",8,"2","9",224.32653372546
"1",9,"2","9",134.246696740295
"1",10,"2","9",318.837161819726
"1",11,"2","9",198.73189088685
"1",12,"2","9",264.456280572251
"1",13,"2","9",218.632183227713
"1",14,"2","9",292.323452131271
"1",15,"2","9",203.836331713171
"1",16,"2","9",314.661767016401
"1",17,"2","9",279.454040607251
"1",18,"2","9",271.109533817437
"1",19,"2","9",121.847371317811
"1",20,"2","9",260.80663307874
"1",21,"2","9",313.67695428673
"1",22,"2","9",283.422231922423
"1",23,"2","9",420.643309608792
"1",24,"2","9",232.206175049802
"1",25,"2","9",297.431721940339
