"Condition","trial","time","person","RT"
"3",1,"1","36",261.989884381931
"3",2,"1","36",320.978703006326
"3",3,"1","36",179.337728316952
"3",4,"1","36",251.401760882041
"3",5,"1","36",246.074432795726
"3",6,"1","36",366.049456695103
"3",7,"1","36",305.986661442462
"3",8,"1","36",256.805330520279
"3",9,"1","36",239.973169578654
"3",10,"1","36",233.205662608716
"3",11,"1","36",232.241181107104
"3",12,"1","36",254.294001406235
"3",13,"1","36",354.118827836219
"3",14,"1","36",261.434232850987
"3",15,"1","36",322.003334842849
"3",16,"1","36",264.057558753376
"3",17,"1","36",234.602972000305
"3",18,"1","36",233.278380159618
"3",19,"1","36",214.25858091507
"3",20,"1","36",251.632460036796
"3",21,"1","36",274.52884974623
"3",22,"1","36",276.861703287809
"3",23,"1","36",216.796293652833
"3",24,"1","36",252.955149191745
"3",25,"1","36",225.448491345019
"3",1,"2","36",177.432326690419
"3",2,"2","36",395.970731374814
"3",3,"2","36",250.782477267963
"3",4,"2","36",247.560374464673
"3",5,"2","36",281.320082388021
"3",6,"2","36",382.465945285776
"3",7,"2","36",215.178529389227
"3",8,"2","36",333.142910642312
"3",9,"2","36",335.640126475403
"3",10,"2","36",275.448505252642
"3",11,"2","36",366.93541824619
"3",12,"2","36",379.322048234986
"3",13,"2","36",267.501290700073
"3",14,"2","36",384.160089502622
"3",15,"2","36",337.746171252098
"3",16,"2","36",270.490157868926
"3",17,"2","36",356.727084629915
"3",18,"2","36",304.876655164549
"3",19,"2","36",278.350021760674
"3",20,"2","36",418.572503727445
"3",21,"2","36",308.235201781899
"3",22,"2","36",417.952972529856
"3",23,"2","36",333.834933368891
"3",24,"2","36",379.229728972925
"3",25,"2","36",275.837052752297
