"Condition","trial","time","person","RT"
"2",1,"1","22",229.525666262366
"2",2,"1","22",206.64572527026
"2",3,"1","22",220.29475609248
"2",4,"1","22",195.273303545042
"2",5,"1","22",341.277090585565
"2",6,"1","22",273.91231497665
"2",7,"1","22",180.302793644531
"2",8,"1","22",208.958068915974
"2",9,"1","22",233.174698590755
"2",10,"1","22",218.070990712063
"2",11,"1","22",216.136644924165
"2",12,"1","22",188.040527522789
"2",13,"1","22",221.619914871283
"2",14,"1","22",208.308802159727
"2",15,"1","22",261.493076905344
"2",16,"1","22",167.958618330114
"2",17,"1","22",188.026375980825
"2",18,"1","22",315.039506972269
"2",19,"1","22",246.639269474735
"2",20,"1","22",210.203170383848
"2",21,"1","22",229.268310769455
"2",22,"1","22",200.030363305836
"2",23,"1","22",355.86871532477
"2",24,"1","22",229.006813295951
"2",25,"1","22",150.00907348012
"2",1,"2","22",148.962981680712
"2",2,"2","22",248.079173608225
"2",3,"2","22",157.135106975256
"2",4,"2","22",162.260612563179
"2",5,"2","22",132.665051647709
"2",6,"2","22",265.016045534144
"2",7,"2","22",201.912138404309
"2",8,"2","22",120.097451024514
"2",9,"2","22",274.449636533125
"2",10,"2","22",158.879397529027
"2",11,"2","22",178.666311844142
"2",12,"2","22",214.984776651817
"2",13,"2","22",203.270621075943
"2",14,"2","22",153.567284993096
"2",15,"2","22",197.278350639799
"2",16,"2","22",195.853141058196
"2",17,"2","22",200.033281257512
"2",18,"2","22",384.14242553684
"2",19,"2","22",213.541713986419
"2",20,"2","22",251.389434999346
"2",21,"2","22",146.266835197023
"2",22,"2","22",281.484031913558
"2",23,"2","22",235.771918469388
"2",24,"2","22",276.80206832915
"2",25,"2","22",126.062051535505
