"Condition","trial","time","person","RT"
"4",1,"1","41",192.018756635577
"4",2,"1","41",234.838150137171
"4",3,"1","41",241.873584009991
"4",4,"1","41",266.793687433679
"4",5,"1","41",264.318820586796
"4",6,"1","41",291.012112144532
"4",7,"1","41",196.20540209747
"4",8,"1","41",158.410806657075
"4",9,"1","41",256.62513092188
"4",10,"1","41",272.960539936597
"4",11,"1","41",242.108561498703
"4",12,"1","41",249.960194439937
"4",13,"1","41",215.893383361617
"4",14,"1","41",193.184504595261
"4",15,"1","41",206.616506695065
"4",16,"1","41",236.389693103963
"4",17,"1","41",200.077207348813
"4",18,"1","41",217.107110733589
"4",19,"1","41",176.732872505941
"4",20,"1","41",221.827654397865
"4",21,"1","41",197.674147837954
"4",22,"1","41",187.766070176897
"4",23,"1","41",198.139370862734
"4",24,"1","41",265.832913437903
"4",25,"1","41",236.447632675419
"4",1,"2","41",238.640845508857
"4",2,"2","41",212.756310015325
"4",3,"2","41",207.53351970362
"4",4,"2","41",286.887249235042
"4",5,"2","41",280.45240647366
"4",6,"2","41",240.320816824859
"4",7,"2","41",256.085538992361
"4",8,"2","41",268.452855328846
"4",9,"2","41",276.326629645077
"4",10,"2","41",275.036386029022
"4",11,"2","41",113.478118280208
"4",12,"2","41",295.281750807562
"4",13,"2","41",279.519315624295
"4",14,"2","41",295.747814206039
"4",15,"2","41",244.926716779306
"4",16,"2","41",233.461034156822
"4",17,"2","41",100.712931136261
"4",18,"2","41",150.824208444149
"4",19,"2","41",247.392704933116
"4",20,"2","41",217.80756122055
"4",21,"2","41",172.201102517424
"4",22,"2","41",145.5813407863
"4",23,"2","41",186.245178714192
"4",24,"2","41",123.201562856277
"4",25,"2","41",104.334252757468
